entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,label,role,domain,mb_transferred
USR_035,service_account,2026-07-12 08:13:32,192.168.90.34.239,"Singapore_Facility (1.3521, 103.8198)",BMS_Controller_Lighting_02,token,1489,login -> authenticate -> select_dashboard -> view_logs -> logout,Honeywell-Firmware v3.4 | MAC: 90:b1:1c:00:44:fe | Protocol: MQTT/TLS,normal,Forge_Sync_Service,OT,133.1
USR_039,user,2026-07-12 12:13:45,10.300.53.176,"London_Office (51.5074, -0.1278)",Workday,password,2657,modbus_read -> check_temperature -> setpoint_verify -> log_telemetry,Ubuntu 22.04 LTS | MAC: 08:00:27:11:22:33 | Protocol: OPC-UA,normal,HR_Specialist,IT,80.76
DEV_041,user,2026-07-12 12:16:10,10.100.114.142,"Atlanta_HQ (33.7490, -84.3880)",Industrial_PLC_Substation_01,certificate,2950,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,macOS 14.2 | MAC: a4:83:e7:91:02:11 | Protocol: HTTPS/TLS1.3,normal,BMS_Operator,OT,88.53
DEV_050,user,2026-07-12 12:49:03,192.168.90.211.9,"Singapore_Facility (1.3521, 103.8198)",BMS_Controller_HVAC_01,certificate,3357,modbus_read -> check_temperature -> setpoint_verify -> log_telemetry,Honeywell-Firmware v3.4 | MAC: 90:b1:1c:00:44:fe | Protocol: MQTT/TLS,normal,BMS_Operator,OT,66.16
USR_030,user,2026-07-12 12:55:46,192.168.90.173.168,"Singapore_Facility (1.3521, 103.8198)",Corporate_VPN,password,2706,login -> authenticate -> select_dashboard -> view_logs -> logout,Honeywell-Firmware v3.4 | MAC: 90:b1:1c:00:44:fe | Protocol: MQTT/TLS,normal,HR_Specialist,IT,18.49
USR_014,user,2026-07-12 12:58:36,10.300.81.55,"London_Office (51.5074, -0.1278)",Industrial_PLC_Substation_01,certificate,2744,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,Ubuntu 22.04 LTS | MAC: 08:00:27:11:22:33 | Protocol: OPC-UA,normal,BMS_Operator,OT,65.39
DEV_043,user,2026-07-12 13:06:56,192.168.50.68.30,"Phoenix_Plant (33.4484, -112.0740)",BMS_Controller_HVAC_01,certificate,498,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,SCADA_Specialist,OT,31.76
DEV_041,user,2026-07-12 13:07:01,10.100.71.63,"Atlanta_HQ (33.7490, -84.3880)",Industrial_PLC_Substation_01,certificate,974,connect_vpn -> fetch_repo -> git_pull -> build_code -> disconnect,macOS 14.2 | MAC: a4:83:e7:91:02:11 | Protocol: HTTPS/TLS1.3,normal,BMS_Operator,OT,113.11
USR_019,user,2026-07-12 13:10:28,10.300.181.78,"London_Office (51.5074, -0.1278)",AWS_Console,password,2565,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,Ubuntu 22.04 LTS | MAC: 08:00:27:11:22:33 | Protocol: OPC-UA,normal,IT_Analyst,IT,11.1
USR_010,user,2026-07-12 13:16:08,192.168.90.191.144,"Singapore_Facility (1.3521, 103.8198)",Active_Directory,password,2267,modbus_read -> check_temperature -> setpoint_verify -> log_telemetry,Honeywell-Firmware v3.4 | MAC: 90:b1:1c:00:44:fe | Protocol: MQTT/TLS,normal,IT_Analyst,IT,114.58
DEV_046,user,2026-07-12 13:19:25,10.100.167.96,"Atlanta_HQ (33.7490, -84.3880)",Jira_Cloud,password,1854,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,macOS 14.2 | MAC: a4:83:e7:91:02:11 | Protocol: HTTPS/TLS1.3,normal,IT_Analyst,IT,73.21
USR_007,user,2026-07-12 13:24:17,10.200.163.214,"Houston_Hub (29.7604, -95.3698)",SCADA_HMI_Workstation_01,certificate,1554,connect_vpn -> fetch_repo -> git_pull -> build_code -> disconnect,Windows 11 Enterprise | MAC: 00:1a:2b:3c:4d:5e | Protocol: RDP/SSH,normal,SCADA_Specialist,OT,61.83
USR_038,user,2026-07-12 13:27:02,192.168.50.24.56,"Phoenix_Plant (33.4484, -112.0740)",Corporate_VPN,token,1012,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,Software_Engineer,IT,94.28
DEV_047,user,2026-07-12 13:29:34,10.200.250.237,"Houston_Hub (29.7604, -95.3698)",Corporate_VPN,token,1610,login -> authenticate -> select_dashboard -> view_logs -> logout,Windows 11 Enterprise | MAC: 00:1a:2b:3c:4d:5e | Protocol: RDP/SSH,normal,Software_Engineer,IT,87.29
USR_033,user,2026-07-12 13:58:06,192.168.50.77.216,"Phoenix_Plant (33.4484, -112.0740)",Industrial_PLC_Substation_01,certificate,2677,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,HVAC_Engineer,OT,95.26
DEV_046,user,2026-07-12 14:41:44,10.100.108.57,"Atlanta_HQ (33.7490, -84.3880)",AWS_Console,password,1899,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,macOS 14.2 | MAC: a4:83:e7:91:02:11 | Protocol: HTTPS/TLS1.3,normal,IT_Analyst,IT,48.95
USR_006,user,2026-07-12 14:54:11,10.100.153.18,"Atlanta_HQ (33.7490, -84.3880)",Honeywell_Forge_Gateway,certificate,2825,connect_vpn -> fetch_repo -> git_pull -> build_code -> disconnect,macOS 14.2 | MAC: a4:83:e7:91:02:11 | Protocol: HTTPS/TLS1.3,normal,HVAC_Engineer,OT,66.53
USR_037,user,2026-07-12 15:05:05,10.200.125.209,"Houston_Hub (29.7604, -95.3698)",Jira_Cloud,password,343,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,Windows 11 Enterprise | MAC: 00:1a:2b:3c:4d:5e | Protocol: RDP/SSH,normal,IT_Analyst,IT,117.22
USR_011,user,2026-07-12 15:29:24,10.100.254.237,"Atlanta_HQ (33.7490, -84.3880)",Workday,token,2681,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,macOS 14.2 | MAC: a4:83:e7:91:02:11 | Protocol: HTTPS/TLS1.3,normal,Software_Engineer,IT,40.75
DEV_049,user,2026-07-12 15:51:10,10.300.109.88,"London_Office (51.5074, -0.1278)",Jira_Cloud,biometric,1198,connect_vpn -> fetch_repo -> git_pull -> build_code -> disconnect,Ubuntu 22.04 LTS | MAC: 08:00:27:11:22:33 | Protocol: OPC-UA,normal,Finance_Manager,IT,40.14
USR_004,user,2026-07-12 16:10:24,10.300.253.100,"London_Office (51.5074, -0.1278)",Corporate_VPN,biometric,1146,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,Ubuntu 22.04 LTS | MAC: 08:00:27:11:22:33 | Protocol: OPC-UA,normal,Finance_Manager,IT,49.93
USR_037,user,2026-07-12 16:12:45,10.200.12.170,"Houston_Hub (29.7604, -95.3698)",Corporate_VPN,password,993,modbus_read -> check_temperature -> setpoint_verify -> log_telemetry,Windows 11 Enterprise | MAC: 00:1a:2b:3c:4d:5e | Protocol: RDP/SSH,normal,IT_Analyst,IT,147.93
USR_009,edge_device,2026-07-13 06:39:34,10.300.233.101,"London_Office (51.5074, -0.1278)",Honeywell_Forge_Gateway,certificate,2484,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,Ubuntu 22.04 LTS | MAC: 08:00:27:11:22:33 | Protocol: OPC-UA,normal,BMS_HVAC_Gateway_01,OT,102.82
DEV_043,user,2026-07-13 08:07:36,192.168.50.120.180,"Phoenix_Plant (33.4484, -112.0740)",BMS_Controller_HVAC_01,certificate,1109,modbus_read -> check_temperature -> setpoint_verify -> log_telemetry,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,SCADA_Specialist,OT,33.49
USR_022,user,2026-07-13 08:20:42,10.200.220.42,"Houston_Hub (29.7604, -95.3698)",Corporate_VPN,biometric,1410,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,Windows 11 Enterprise | MAC: 00:1a:2b:3c:4d:5e | Protocol: RDP/SSH,normal,Finance_Manager,IT,107.11
USR_009,edge_device,2026-07-13 08:32:37,10.300.223.26,"London_Office (51.5074, -0.1278)",BMS_Controller_Lighting_02,certificate,3521,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,Ubuntu 22.04 LTS | MAC: 08:00:27:11:22:33 | Protocol: OPC-UA,normal,BMS_HVAC_Gateway_01,OT,23.96
USR_007,user,2026-07-13 08:43:14,10.200.7.159,"Houston_Hub (29.7604, -95.3698)",SCADA_HMI_Workstation_01,certificate,2359,modbus_read -> check_temperature -> setpoint_verify -> log_telemetry,Windows 11 Enterprise | MAC: 00:1a:2b:3c:4d:5e | Protocol: RDP/SSH,normal,SCADA_Specialist,OT,138.14
USR_025,user,2026-07-13 08:55:02,192.168.90.57.52,"Singapore_Facility (1.3521, 103.8198)",SCADA_HMI_Workstation_01,certificate,3404,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,Honeywell-Firmware v3.4 | MAC: 90:b1:1c:00:44:fe | Protocol: MQTT/TLS,normal,SCADA_Specialist,OT,58.95
USR_018,edge_device,2026-07-13 09:00:36,192.168.50.200.191,"Phoenix_Plant (33.4484, -112.0740)",Industrial_PLC_Substation_01,certificate,260,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,BMS_HVAC_Gateway_01,OT,114.32
USR_024,user,2026-07-13 09:06:43,10.300.140.231,"London_Office (51.5074, -0.1278)",BMS_Controller_Lighting_02,certificate,2701,modbus_read -> check_temperature -> setpoint_verify -> log_telemetry,Ubuntu 22.04 LTS | MAC: 08:00:27:11:22:33 | Protocol: OPC-UA,normal,HVAC_Engineer,OT,18.48
USR_030,user,2026-07-13 09:26:56,192.168.90.148.50,"Singapore_Facility (1.3521, 103.8198)",Jira_Cloud,password,3002,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,Honeywell-Firmware v3.4 | MAC: 90:b1:1c:00:44:fe | Protocol: MQTT/TLS,normal,HR_Specialist,IT,79.21
USR_004,user,2026-07-13 09:35:18,10.300.242.33,"London_Office (51.5074, -0.1278)",Jira_Cloud,biometric,2672,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,Ubuntu 22.04 LTS | MAC: 08:00:27:11:22:33 | Protocol: OPC-UA,normal,Finance_Manager,IT,24.36
USR_027,edge_device,2026-07-13 09:53:30,10.200.63.117,"Houston_Hub (29.7604, -95.3698)",SCADA_HMI_Workstation_01,certificate,2317,connect_vpn -> fetch_repo -> git_pull -> build_code -> disconnect,Windows 11 Enterprise | MAC: 00:1a:2b:3c:4d:5e | Protocol: RDP/SSH,normal,BMS_HVAC_Gateway_01,OT,63.7
DEV_048,user,2026-07-13 09:55:21,192.168.50.120.247,"Phoenix_Plant (33.4484, -112.0740)",Corporate_VPN,password,368,connect_vpn -> fetch_repo -> git_pull -> build_code -> disconnect,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,HR_Specialist,IT,115.58
USR_032,user,2026-07-13 09:58:37,10.200.60.119,"Houston_Hub (29.7604, -95.3698)",BMS_Controller_HVAC_01,certificate,2672,modbus_read -> check_temperature -> setpoint_verify -> log_telemetry,Windows 11 Enterprise | MAC: 00:1a:2b:3c:4d:5e | Protocol: RDP/SSH,normal,BMS_Operator,OT,74.34
USR_036,edge_device,2026-07-13 10:08:12,10.100.171.241,"Atlanta_HQ (33.7490, -84.3880)",SCADA_HMI_Workstation_01,certificate,1612,connect_vpn -> fetch_repo -> git_pull -> build_code -> disconnect,macOS 14.2 | MAC: a4:83:e7:91:02:11 | Protocol: HTTPS/TLS1.3,normal,BMS_HVAC_Gateway_01,OT,96.17
USR_009,edge_device,2026-07-13 10:09:14,10.300.178.40,"London_Office (51.5074, -0.1278)",SCADA_HMI_Workstation_01,certificate,2953,connect_vpn -> fetch_repo -> git_pull -> build_code -> disconnect,Ubuntu 22.04 LTS | MAC: 08:00:27:11:22:33 | Protocol: OPC-UA,normal,BMS_HVAC_Gateway_01,OT,18.99
DEV_044,service_account,2026-07-13 10:15:42,10.300.91.200,"London_Office (51.5074, -0.1278)",Honeywell_Forge_Gateway,token,2353,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,Ubuntu 22.04 LTS | MAC: 08:00:27:11:22:33 | Protocol: OPC-UA,normal,Forge_Sync_Service,OT,146.34
DEV_043,user,2026-07-13 10:16:23,192.168.50.176.237,"Phoenix_Plant (33.4484, -112.0740)",BMS_Controller_HVAC_01,certificate,2002,login -> authenticate -> select_dashboard -> view_logs -> logout,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,SCADA_Specialist,OT,22.77
USR_018,edge_device,2026-07-13 10:19:16,192.168.50.31.185,"Phoenix_Plant (33.4484, -112.0740)",BMS_Controller_HVAC_01,certificate,848,modbus_read -> check_temperature -> setpoint_verify -> log_telemetry,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,BMS_HVAC_Gateway_01,OT,26.74
DEV_043,user,2026-07-13 10:23:04,192.168.50.166.88,"Phoenix_Plant (33.4484, -112.0740)",Access_Control_Gateway_03,certificate,111,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,SCADA_Specialist,OT,125.13
USR_026,service_account,2026-07-13 10:27:43,10.100.126.183,"Atlanta_HQ (33.7490, -84.3880)",Honeywell_Forge_Gateway,token,1876,login -> authenticate -> select_dashboard -> view_logs -> logout,macOS 14.2 | MAC: a4:83:e7:91:02:11 | Protocol: HTTPS/TLS1.3,normal,Forge_Sync_Service,OT,135.9
DEV_041,user,2026-07-13 10:27:44,10.100.117.217,"Atlanta_HQ (33.7490, -84.3880)",BMS_Controller_Lighting_02,certificate,1297,connect_vpn -> fetch_repo -> git_pull -> build_code -> disconnect,macOS 14.2 | MAC: a4:83:e7:91:02:11 | Protocol: HTTPS/TLS1.3,normal,BMS_Operator,OT,149.91
USR_027,edge_device,2026-07-13 10:36:43,10.200.44.45,"Houston_Hub (29.7604, -95.3698)",BMS_Controller_HVAC_01,certificate,383,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,Windows 11 Enterprise | MAC: 00:1a:2b:3c:4d:5e | Protocol: RDP/SSH,normal,BMS_HVAC_Gateway_01,OT,131.92
DEV_045,edge_device,2026-07-13 10:38:30,192.168.90.9.60,"Singapore_Facility (1.3521, 103.8198)",BMS_Controller_Lighting_02,certificate,1240,modbus_read -> check_temperature -> setpoint_verify -> log_telemetry,Honeywell-Firmware v3.4 | MAC: 90:b1:1c:00:44:fe | Protocol: MQTT/TLS,normal,BMS_HVAC_Gateway_01,OT,108.42
USR_037,user,2026-07-13 10:39:03,10.200.246.190,"Houston_Hub (29.7604, -95.3698)",AWS_Console,password,466,connect_vpn -> fetch_repo -> git_pull -> build_code -> disconnect,Windows 11 Enterprise | MAC: 00:1a:2b:3c:4d:5e | Protocol: RDP/SSH,normal,IT_Analyst,IT,97.57
USR_032,user,2026-07-13 10:39:26,10.200.9.177,"Houston_Hub (29.7604, -95.3698)",BMS_Controller_Lighting_02,certificate,1577,connect_vpn -> fetch_repo -> git_pull -> build_code -> disconnect,Windows 11 Enterprise | MAC: 00:1a:2b:3c:4d:5e | Protocol: RDP/SSH,normal,BMS_Operator,OT,72.07
USR_021,user,2026-07-13 10:40:45,10.100.224.139,"Atlanta_HQ (33.7490, -84.3880)",GitHub_Enterprise,password,207,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,macOS 14.2 | MAC: a4:83:e7:91:02:11 | Protocol: HTTPS/TLS1.3,normal,HR_Specialist,IT,19.58
USR_010,user,2026-07-13 10:41:44,192.168.90.229.193,"Singapore_Facility (1.3521, 103.8198)",Corporate_VPN,password,3584,login -> authenticate -> select_dashboard -> view_logs -> logout,Honeywell-Firmware v3.4 | MAC: 90:b1:1c:00:44:fe | Protocol: MQTT/TLS,normal,IT_Analyst,IT,118.98
DEV_042,user,2026-07-13 10:41:56,10.200.185.222,"Houston_Hub (29.7604, -95.3698)",Access_Control_Gateway_03,certificate,940,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,Windows 11 Enterprise | MAC: 00:1a:2b:3c:4d:5e | Protocol: RDP/SSH,normal,HVAC_Engineer,OT,73.22
USR_013,user,2026-07-13 10:44:15,192.168.50.99.60,"Phoenix_Plant (33.4484, -112.0740)",AWS_Console,biometric,3566,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,Finance_Manager,IT,16.11
USR_008,service_account,2026-07-13 10:56:16,192.168.50.149.247,"Phoenix_Plant (33.4484, -112.0740)",BMS_Controller_HVAC_01,token,1147,login -> authenticate -> select_dashboard -> view_logs -> logout,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,Forge_Sync_Service,OT,25.18
USR_018,edge_device,2026-07-13 10:56:38,192.168.50.226.71,"Phoenix_Plant (33.4484, -112.0740)",Industrial_PLC_Substation_01,certificate,2336,login -> authenticate -> select_dashboard -> view_logs -> logout,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,BMS_HVAC_Gateway_01,OT,82.33
USR_005,user,2026-07-13 10:56:44,192.168.90.140.10,"Singapore_Facility (1.3521, 103.8198)",BMS_Controller_HVAC_01,certificate,3478,modbus_read -> check_temperature -> setpoint_verify -> log_telemetry,Honeywell-Firmware v3.4 | MAC: 90:b1:1c:00:44:fe | Protocol: MQTT/TLS,normal,BMS_Operator,OT,91.55
USR_031,user,2026-07-13 11:01:47,10.100.14.244,"Atlanta_HQ (33.7490, -84.3880)",AWS_Console,biometric,1493,connect_vpn -> fetch_repo -> git_pull -> build_code -> disconnect,macOS 14.2 | MAC: a4:83:e7:91:02:11 | Protocol: HTTPS/TLS1.3,normal,Finance_Manager,IT,101.02
DEV_043,user,2026-07-13 11:05:10,192.168.50.45.142,"Phoenix_Plant (33.4484, -112.0740)",BMS_Controller_HVAC_01,certificate,367,connect_vpn -> fetch_repo -> git_pull -> build_code -> disconnect,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,SCADA_Specialist,OT,10.37
DEV_041,user,2026-07-13 11:06:57,10.100.166.11,"Atlanta_HQ (33.7490, -84.3880)",Industrial_PLC_Substation_01,certificate,1325,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,macOS 14.2 | MAC: a4:83:e7:91:02:11 | Protocol: HTTPS/TLS1.3,normal,BMS_Operator,OT,14.67
USR_030,user,2026-07-13 11:07:41,192.168.90.128.239,"Singapore_Facility (1.3521, 103.8198)",Active_Directory,password,2995,modbus_read -> check_temperature -> setpoint_verify -> log_telemetry,Honeywell-Firmware v3.4 | MAC: 90:b1:1c:00:44:fe | Protocol: MQTT/TLS,normal,HR_Specialist,IT,81.24
USR_028,user,2026-07-13 11:08:02,192.168.50.94.231,"Phoenix_Plant (33.4484, -112.0740)",Workday,password,3320,login -> authenticate -> select_dashboard -> view_logs -> logout,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,IT_Analyst,IT,135.85
USR_018,edge_device,2026-07-13 11:11:37,192.168.50.163.209,"Phoenix_Plant (33.4484, -112.0740)",SCADA_HMI_Workstation_01,certificate,2074,login -> authenticate -> select_dashboard -> view_logs -> logout,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,BMS_HVAC_Gateway_01,OT,75.8
